,描述,位置信息,区域,房屋信息,关注信息,总价,单价,Type,Area,Direction,Decoration,Floor,Other,Floor_No,Total_Floor,1室1厅 ,1室2厅 ,2室1厅 ,2室2厅 ,3室1厅 ,3室2厅 ,4室1厅 ,4室2厅 ,5室2厅 ,5室3厅 ,6室3厅 ,室厅,南,东,西,东南,西南,东北,北,西北
0,嘉裕第六洲龙泽台 4室2厅 280万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 223.73平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 31天以前发布,280,12516.0,4室2厅 , 223.73平米 , 南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,洋房品质小区，户型设计方正，采光良好,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.95平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,5人关注 / 1个月以前发布,95,7543.0,3室2厅 , 125.95平米 , 南 , 毛坯 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,洋房品质小区，户型设计方正，采光良好,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.12平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 30天以前发布,93,7433.0,3室2厅 , 125.12平米 , 东南 , 其他 , 中楼层(共7层)  , 暂无数据, 中楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,改变自己生活质量，找到一片宁静，此刻你值得拥有。,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.15平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 22天以前发布,110,8790.0,3室2厅 , 125.15平米 , 南 , 其他 , 中楼层(共9层)  , 暂无数据, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,嘉裕第六洲龙泽台 4室2厅 225万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 221.67平米 | 东南 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 17天以前发布,225,10151.0,4室2厅 , 221.67平米 , 东南 , 毛坯 , 低楼层(共9层)  , 板楼, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,高品质花园洋房  双阳台  大花园,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 237.64平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,225,9469.0,4室2厅 , 237.64平米 , 东南 , 其他 , 低楼层(共7层)  , 暂无数据, 低楼层,7  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,洋房品质小区，视野开阔，户型设计方正,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 124.45平米 | 东南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 17天以前发布,96,7714.0,3室2厅 , 124.45平米 , 东南 , 其他 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,嘉裕第六洲龙泽台清水好房电梯入户,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 207.57平米 | 东南 | 其他 | 低楼层(共9层)  | 暂无数据,1人关注 / 20天以前发布,140,6745.0,4室2厅 , 207.57平米 , 东南 , 其他 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,嘉裕第六洲龙泽台清水大套三双卫洋房小区一梯两户,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.95平米 | 西南 | 毛坯 | 高楼层(共9层)  | 板楼,0人关注 / 17天以前发布,120,9528.0,3室2厅 , 125.95平米 , 西南 , 毛坯 , 高楼层(共9层)  , 板楼, 高楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,房子装修  房东成心出售  价格可谈,西蜀御景 ,崇州,4室2厅 | 129.01平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,3人关注 / 3个月以前发布,92.8,7194.0,4室2厅 , 129.01平米 , 南 , 其他 , 低楼层(共16层)  , 暂无数据, 低楼层,16  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,嘉裕第六洲龙泽台 4室2厅 245万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 238平米 | 东南 | 其他 | 低楼层(共7层)  | 板楼,13人关注 / 3个月以前发布,245,10295.0,4室2厅 , 238平米 , 东南 , 其他 , 低楼层(共7层)  , 板楼, 低楼层,7  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,清水大套三  地下室 花园洋房 实得大 2800亩湿地公园,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 202.82平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,150,7396.0,3室2厅 , 202.82平米 , 南 , 毛坯 , 低楼层(共7层)  , 板楼, 低楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,嘉裕第六洲龙泽台，自带花园，跃层 清水洋房,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 156.11平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,3人关注 / 1个月以前发布,188,12043.0,4室2厅 , 156.11平米 , 南 , 毛坯 , 高楼层(共7层)  , 暂无数据, 高楼层,7  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,嘉裕第六洲龙泽台 4室2厅 158.8万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 223.37平米 | 西南 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 28天以前发布,158.8,7110.0,4室2厅 , 223.37平米 , 西南 , 其他 , 低楼层(共9层)  , 板楼, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,嘉裕第六洲龙泽台 3室2厅 150万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.13平米 | 西南 | 其他 | 高楼层(共9层)  | 板楼,1人关注 / 17天以前发布,150,11988.0,3室2厅 , 125.13平米 , 西南 , 其他 , 高楼层(共9层)  , 板楼, 高楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,嘉裕第六洲龙泽台 清水大套三双卫 洋房小区,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 125.15平米 | 东南 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,97,7751.0,3室1厅 , 125.15平米 , 东南 , 其他 , 高楼层(共9层)  , 板楼, 高楼层,9  ,False,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,西蜀御景二期 4室2厅 80万,西蜀御景二期 ,崇州,4室2厅 | 128平米 | 东南 | 其他 | 高楼层(共18层)  | 暂无数据,3人关注 / 3个月以前发布,80,6250.0,4室2厅 , 128平米 , 东南 , 其他 , 高楼层(共18层)  , 暂无数据, 高楼层,18  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,2800亩公园近在家门，嘉裕6层的洋房，纯中庭位置,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.06平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,3人关注 / 2个月以前发布,98.5,7877.0,3室2厅 , 125.06平米 , 南 , 毛坯 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,嘉裕第六洲龙泽台 清水跃层户型 洋房小区 全新小区,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 155.52平米 | 东南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,180,11575.0,4室2厅 , 155.52平米 , 东南 , 毛坯 , 高楼层(共7层)  , 板楼, 高楼层,7  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,嘉裕第六洲龙泽台 3室2厅 94.5万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.12平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,94.5,7553.0,3室2厅 , 125.12平米 , 东南 , 毛坯 , 中楼层(共7层)  , 板楼, 中楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,嘉裕第六洲龙泽台 3室2厅 125万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.59平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,125,9954.0,3室2厅 , 125.59平米 , 南 , 其他 , 高楼层(共9层)  , 板楼, 高楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,嘉裕洋房，板式1梯2户，证在手，小区自带2800亩公园,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.13平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,100,7992.0,3室2厅 , 125.13平米 , 南 , 毛坯 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,嘉裕第六洲龙泽台 3室2厅 102万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.6平米 | 东南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,102,8122.0,3室2厅 , 125.6平米 , 东南 , 毛坯 , 高楼层(共9层)  , 暂无数据, 高楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,洋房6＋1，成都经济生活圈，高品质生活。,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 161.11平米 | 西南 | 其他 | 高楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,163,10118.0,4室2厅 , 161.11平米 , 西南 , 其他 , 高楼层(共9层)  , 板楼, 高楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,清水大套三双卫双阳台，采光无遮挡，户型方正，,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.8平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,115,9142.0,3室2厅 , 125.8平米 , 东南 , 毛坯 , 中楼层(共7层)  , 板楼, 中楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,嘉裕第六洲龙泽台 3室2厅 105万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.8平米 | 西南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 1个月以前发布,105,8281.0,3室2厅 , 126.8平米 , 西南 , 其他 , 中楼层(共6层)  , 暂无数据, 中楼层,6  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,嘉裕第六洲龙泽台 3室2厅 90万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,6人关注 / 1个月以前发布,90,7200.0,3室2厅 , 125平米 , 东南 , 其他 , 中楼层(共7层)  , 板楼, 中楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,嘉裕第六洲龙泽台 清水大套三双卫 洋房小区,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 东 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,94,7520.0,3室2厅 , 125平米 , 东 , 其他 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,羊马新城品质洋房，中间楼层，您值得拥有。,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,95,7600.0,3室2厅 , 125平米 , 南 , 其他 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,嘉裕第六洲 电梯花园洋房 中庭 羊马新城 2800亩湿地,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.8平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,1人关注 / 1个月以前发布,98,7791.0,3室2厅 , 125.8平米 , 南 , 其他 , 中楼层(共9层)  , 暂无数据, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,嘉裕第六洲龙泽台 3室2厅 110万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.8平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,1人关注 / 1个月以前发布,110,8745.0,3室2厅 , 125.8平米 , 南 , 其他 , 高楼层(共9层)  , 暂无数据, 高楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,洋房品质小区，户型设计方正，采光良好,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 203.44平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,8人关注 / 1个月以前发布,140,6882.0,3室2厅 , 203.44平米 , 南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,花园洋房 一楼跃负一楼  采光极好,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 222.05平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 31天以前发布,230,10359.0,4室2厅 , 222.05平米 , 东南 , 其他 , 低楼层(共7层)  , 暂无数据, 低楼层,7  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,龙泽台带楼下地下室， 有花园，房间大,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 204.79平米 | 东 | 毛坯 | 低楼层(共6层)  | 暂无数据,2人关注 / 1个月以前发布,185,9034.0,4室2厅 , 204.79平米 , 东 , 毛坯 , 低楼层(共6层)  , 暂无数据, 低楼层,6  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,嘉裕第六洲龙泽台 4室2厅 210万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 225.51平米 | 东 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,210,9313.0,4室2厅 , 225.51平米 , 东 , 毛坯 , 低楼层(共6层)  , 暂无数据, 低楼层,6  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,电梯花园洋房 新小区 品质居住 2800亩湿地公园旁,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 161.98平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,180,11113.0,4室2厅 , 161.98平米 , 南 , 毛坯 , 高楼层(共9层)  , 暂无数据, 高楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,嘉裕第六洲龙泽台 3室2厅 140万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共9层)  | 板楼,3人关注 / 2个月以前发布,140,11112.0,3室2厅 , 126平米 , 南 , 其他 , 低楼层(共9层)  , 板楼, 低楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,嘉裕第六洲龙泽台 4室2厅 140万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 160平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,12人关注 / 1个月以前发布,140,8750.0,4室2厅 , 160平米 , 南 , 毛坯 , 高楼层(共9层)  , 板楼, 高楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,房子欧式装修  套四双卫  不临街,西蜀御景二期 ,崇州,4室2厅 | 118.78平米 | 南 | 其他 | 低楼层(共13层)  | 暂无数据,6人关注 / 2个月以前发布,95,7998.0,4室2厅 , 118.78平米 , 南 , 其他 , 低楼层(共13层)  , 暂无数据, 低楼层,13  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,居家和养老。小区鸟语花香，楼距开阔视野好，洋房。,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.17平米 | 东南 | 其他 | 中楼层(共9层)  | 板楼,5人关注 / 2个月以前发布,118,9428.0,3室2厅 , 125.17平米 , 东南 , 其他 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,嘉裕第六洲龙泽台 3室2厅 105万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 西南 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,105,8400.0,3室2厅 , 125平米 , 西南 , 其他 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,嘉裕第六洲龙泽台 3室2厅 180万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 161平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,180,11181.0,3室2厅 , 161平米 , 南 , 其他 , 高楼层(共9层)  , 板楼, 高楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,嘉裕开发优质洋房小区临中庭安静中楼层采光通风,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 126.27平米 | 东南 | 其他 | 中楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,110,8712.0,3室1厅 , 126.27平米 , 东南 , 其他 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,嘉裕第六洲龙泽台 4室2厅 153万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 202平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,153,7575.0,4室2厅 , 202平米 , 南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,嘉裕第六洲龙泽台 4室2厅 200万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 225.4平米 | 东北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,200,8874.0,4室2厅 , 225.4平米 , 东北 , 其他 , 低楼层(共6层)  , 暂无数据, 低楼层,6  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,嘉裕第六洲龙泽台 3室2厅 95万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.05平米 | 西北 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 1个月以前发布,95,7537.0,3室2厅 , 126.05平米 , 西北 , 其他 , 中楼层(共6层)  , 暂无数据, 中楼层,6  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,西蜀御景二期 2室1厅 68万,西蜀御景二期 ,崇州,2室1厅 | 97平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,1人关注 / 2个月以前发布,68,7011.0,2室1厅 , 97平米 , 东南 , 简装 , 中楼层(共18层)  , 暂无数据, 中楼层,18  ,False,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
81,别墅小区上叠户型，精装修，屋顶带花园,嘉裕第六洲 ,崇州,4室2厅 | 141.7平米 | 东南 | 精装 | 低楼层(共3层)  | 板楼,2人关注 / 2个月以前发布,210,14821.0,4室2厅 , 141.7平米 , 东南 , 精装 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82,纯别墅，精装修，3层楼，拎包入住，带花园,嘉裕第六洲 ,崇州,5室2厅 | 142.29平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,14人关注 / 2个月以前发布,220,15462.0,5室2厅 , 142.29平米 , 南 , 精装 , 中楼层(共4层)  , 板楼, 中楼层,4  ,False,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,嘉裕第六洲 3室2厅 280万,嘉裕第六洲 ,崇州,3室2厅 | 183平米 | 南 | 其他 | 低楼层(共1层)  | 板楼,0人关注 / 24天以前发布,280,15301.0,3室2厅 , 183平米 , 南 , 其他 , 低楼层(共1层)  , 板楼, 低楼层,1  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
